Mouse,Date,En,Probe,ML,AP,DV,theta,phi,Insertion_1,Insertion_2,Insertion_3,MSE
ab_0003,2021-04-26,1,p1,1100,-1250,6000,90,0,1036,-1450,-193,209.990475974507
ab_0003,2021-04-27,1,p1,750,-1000,5100,70,180,961,-850,-318,258.884143971777
ab_0003,2021-05-19,1,p1,-950,1600,2550,75,180,-764,2000,-1293,441.130366218423
ab_0003,2021-05-20,1,p1,-2000,2300,2500,90,0,-1964,2600,-1618,302.15227948834
ab_0003,2021-05-21,1,p1,-800,1000,4250,90,0,-1039,1675,-1018,716.062846403861
ab_0003,2021-05-25,1,p1,-750,750,5200,70,0,-1089,-825,-193,1611.06983088878
ab_0006,2021-06-30,1,p0,360,2100,2400,90,0,386,1900,-1118,201.682919455268
ab_0006,2021-07-01,1,p0,-1100,-900,4750,88.5,180,-814,-550,-293,451.991150355845
ab_0006,2021-07-02,1,p0,-1100,-1000,4900,70,-90,-1039,-875,-318,139.089898986231
ab_0006,2021-07-06,1,p0,-811,2500,2500,90,0,-1089,2775,-1793,391.035803987307
ab_0007,2021-07-08,1,p0,820,-5000,3400,70,-90,986,-5125,-993,207.800384985206
ab_0007,2021-07-09,1,p0,-980,2400,2050,90,0,-1339,3075,-1693,764.52992093181
ab_0007,2021-07-12,1,p0,700,-5500,3050,90,0,836,-6175,-743,688.564448690171
ab_0007,2021-07-14,1,p0,-1100,-4900,3500,70,-90,-1014,-5200,-918,312.083322207387
ab_0007,2021-07-14,1,p1,980,2400,3100,90,0,986,3325,-1843,925.019459254777
ab_0007,2021-07-16,1,p0,1000,2000,2000,75,0,811,2800,-1568,822.022505774629
ab_0007,2021-07-16,1,p1,-1500,-5200,5100,90,0,-1589,-5925,-868,730.442331741527
ab_0008,2021-06-23,1,p0,700,-5700,4750,90,0,1511,-6050,-968,883.301194383886
ab_0008,2021-06-24,1,p0,887,-4500,2710,72.5,-90,1186,-5200,-843,761.183946231132
ab_0008,2021-06-29,1,p0,680,2200,2550,90,0,686,2525,-1368,325.055379897026
ab_0008,2021-06-30,1,p0,-700,-5900,4750,90,0,-563.999999999999,-6250,-693,375.494340836183
ab_0008,2021-07-02,1,p0,-1030,-5000,3400,70,-90,-1014,-5650,-818,650.196893256189
ab_0009,2021-07-22,1,p0,-1300,-4900,2950,70,-90,-1289,-5200,-868,300.201598929785
ab_0009,2021-07-22,1,p1,960,800,4200,86,90,1236,1750,-1393,989.280546660046
ab_0009,2021-07-23,1,p0,1080,1750,2700,80,0,1186,2075,-1268,341.849382038347
ab_0009,2021-07-23,1,p1,-700,-5900,3800,90,0,-939,-6625,-993,763.378019070499
ab_0009,2021-07-28,1,p0,-800,1500,4800,90,0,-464,2075,-1118,665.973723205352
ab_0009,2021-07-28,1,p1,1200,-4600,3350,70,-90,1161,-5300,-943,701.085586786663
ab_0010,2021-06-21,1,p1,300,2000,2960,90,0,311.000000000001,2675,-1668,675.089623679701
ab_0010,2021-06-22,1,p1,-1520,-4700,4750,84,-90,-1389,-5450,-943,761.354713651921
ab_0010,2021-06-23,1,p1,-700,-5500,5000,90,0,-563.999999999999,-6200,-568,713.089054747021
